,ID,Grants,Loans,Federal,Institutional,Net_Total,YearBegin
256,2017000068,"9,000.00","25,404.00","25,404.00","9,000.00","33,498.00",2017
258,NE6166014,"5,636.85",368.00,"3,328.00","2,676.85","6,004.85",2017
259,2017000098,"12,595.00","9,500.00","11,870.00","10,225.00","21,997.00",2017
260,2017000083,"8,520.00","12,500.00","14,870.00","6,150.00","20,890.00",2017
261,2016000061,"12,931.50","7,500.00","13,420.00","7,011.50","20,353.50",2017
262,2017000029,"9,000.00","21,500.00","21,500.00","9,000.00","29,792.00",2017
263,2017000038,"6,127.67","3,750.00","6,710.00","3,167.67","7,110.23",2017
264,2017000047,"7,175.00","7,500.00","7,500.00","7,175.00","14,597.00",2017
265,2017000105,"17,364.00","5,500.00","5,500.00","17,364.00","22,808.00",2017
266,2016000013,"15,270.00","16,500.00","22,270.00","9,500.00","31,310.00",2017
268,2016000043,"17,510.00","6,500.00","12,035.00","11,975.00","23,942.00",2017
269,2017000109,"2,687.50","5,500.00","5,500.00","2,687.50","8,129.50",2017
270,2016000007,"19,171.00","27,500.00","18,420.00","13,251.00","46,539.00",2017
271,2017000081,"13,094.00","10,500.00","16,420.00","7,174.00","23,486.00",2017
273,2017000087,"5,000.00","26,555.00","26,555.00","5,000.00","30,631.00",2017
274,2017000082,"10,920.00","29,658.00","35,578.00","5,000.00","39,524.00",2017
275,RU1751715,"22,510.00","5,500.00","11,420.00","16,590.00","26,962.00",2017
277,2017000051,"7,150.00","5,500.00","5,500.00","7,150.00","12,592.00",2017
278,2016000034,"9,750.00","25,815.00","6,500.00","9,750.00","35,497.00",2017
279,2017000101,"8,500.00","15,563.00","15,563.00","8,500.00","23,579.00",2017
280,2017000060,"3,900.00","28,954.00","28,954.00","3,900.00","19,164.00",2017
281,2018000006,"6,150.00","17,289.00","17,289.00","6,150.00","22,947.00",2017
282,2017000093,"5,000.00","7,500.00","7,500.00","5,000.00","12,422.00",2017
283,2016000031,"20,399.00","7,500.00","14,999.00","12,900.00","27,821.00",2017
285,2017000096,"6,547.50","3,750.00","6,710.00","3,587.50","10,258.50",2017
286,2016000067,"7,500.00","24,500.00","24,500.00","7,500.00","31,196.00",2017
288,2016000060,"12,770.00","7,500.00","11,270.00","9,000.00","20,192.00",2017
289,2018000005,"6,150.00","3,750.00","3,750.00","6,150.00","9,862.00",2017
290,2016000029,"12,745.00","6,500.00","12,420.00","6,825.00","19,177.00",2017
291,2016000030,"9,920.00","6,500.00","12,420.00","4,000.00","16,352.00",2017
292,2016000051,"13,420.00","12,500.00","18,420.00","7,500.00","25,788.00",2017
293,2017000088,"6,700.00","26,056.00","5,500.00","6,700.00","32,700.00",2017
294,2017000054,"4,435.00",0.00,"1,935.00","2,500.00","4,435.00",2017
295,2017000059,"8,000.00","31,158.00","31,158.00","8,000.00","38,036.00",2017
296,2017000102,"8,500.00","19,500.00","7,500.00","8,500.00","27,922.00",2017
297,2017000099,"12,670.00","10,500.00","15,970.00","7,200.00","23,058.00",2017
298,2017000074,"12,870.00","7,500.00","13,370.00","7,000.00","20,292.00",2017
299,2017000027,"8,500.00","6,500.00","6,500.00","8,500.00","14,932.00",2017
302,2016000037,"11,700.00","7,500.00","7,500.00","11,700.00","19,122.00",2018
303,AJ5365039,"13,545.00","12,500.00","18,545.00","7,500.00","22,822.00",2018
304,2017000035,"8,000.00","22,500.00","22,500.00","7,000.00","29,756.00",2018
305,2016000055,"6,000.00","17,900.00","17,900.00","6,000.00","23,382.00",2018
306,AR7969044,"15,045.00","7,500.00","13,545.00","9,000.00","22,467.00",2018
307,2018000071,"18,095.00","7,500.00","13,595.00","12,000.00","25,517.00",2018
309,2017000090,"12,095.00","12,500.00","18,595.00","6,000.00","24,465.00",2018
310,2018000105,"20,454.00","5,500.00","8,745.00","8,125.00","25,898.00",2018
314,018000048,"13,045.00","20,500.00","15,545.00","7,000.00","33,447.00",2018
315,2018000061,"7,050.00","10,502.00","10,502.00","7,050.00","17,442.00",2018
317,2016000069,"8,000.00","6,500.00","6,500.00","8,000.00","14,434.00",2018
318,2018000088,"7,050.00","9,500.00","9,500.00","7,050.00","16,450.00",2018
319,2018000045,"26,076.00","3,000.00","9,095.00","10,897.00","29,046.00",2018
320,2018000101,"27,851.00","12,500.00","12,595.00","11,000.00","40,285.00",2018
321,2018000072,"12,150.00","6,500.00","6,500.00","12,150.00","18,582.00",2018
322,2017000064,"7,000.00","27,500.00","7,500.00","7,000.00","34,422.00",2018
323,2017000067,"13,145.00","12,500.00","18,595.00","7,050.00","25,515.00",2018
324,2017000057,"6,345.00","36,930.00","39,275.00","4,000.00","41,947.00",2018
326,2017000086,"8,200.00","26,421.00","26,421.00","8,200.00","33,741.00",2018
327,2019000012,"7,048.00","12,500.00","15,548.00","4,000.00","19,416.00",2018
328,2018000016,"12,390.00",0.00,"3,048.00","8,506.00","12,390.00",2018
329,2018000067,"12,000.00","15,500.00","15,500.00","12,000.00","27,082.00",2018
330,2018000055,"9,575.00","27,500.00","27,500.00","9,575.00","36,145.00",2018
333,2016000053,"6,500.00","22,500.00","22,500.00","6,500.00","28,286.00",2018
334,2018000056,"21,029.00",0.00,"2,945.00","9,000.00","21,029.00",2018
335,2017000031,"9,595.00","9,500.00","15,595.00","3,500.00","18,997.00",2018
336,2018000116,"21,245.00","6,500.00","10,745.00","17,000.00","27,679.00",2018
337,2017000011,"8,700.00","12,500.00","12,500.00","8,700.00","21,070.00",2018
339,2018000010,"8,100.00","35,500.00","5,500.00","8,100.00","43,542.00",2018
340,2018000130,"4,612.50","11,620.00","7,620.00","4,612.50","16,152.50",2018
341,2016000027,"15,815.00","7,500.00","10,548.00","12,767.00","19,526.00",2018
342,2016000082,"14,745.00","27,930.00","33,175.00","9,500.00","41,727.00",2018
343,2017000004,"4,000.00","7,500.00","7,500.00","4,000.00","11,422.00",2018
345,2018000022,"26,179.00","12,500.00","18,595.00","11,000.00","38,389.00",2018
346,2018000114,"18,095.00","7,500.00","13,595.00","12,000.00","21,806.00",2018
347,2019000013,"4,000.00","4,750.00","4,750.00","4,000.00","8,702.00",2018
348,2018000095,"7,548.00","3,750.00","6,798.00","4,500.00","11,260.00",2018
349,2016000035,"9,156.00","19,500.00","19,500.00","9,156.00","28,070.00",2018
350,2016000002,"23,117.00",0.00,"4,545.00","9,488.00","23,117.00",2018
351,2018000079,"17,845.00","26,780.00","31,625.00","13,000.00","43,667.00",2018
352,2017000048,"22,029.00","7,500.00","11,445.00","18,084.00","29,451.00",2018
354,2018000068,"17,170.00","3,250.00","9,345.00","11,075.00","20,387.00",2018
