ID,Grants,Loans,Federal,Institutional,Net_Total,YearBegin,YearCat
2017000057,6345.0,36930.0,39275.0,4000.0,41947.0,2018,2
2017000086,8200.0,26421.0,26421.0,8200.0,33741.0,2018,2
2019000012,7048.0,12500.0,15548.0,4000.0,19416.0,2018,2
2018000016,12390.0,0.0,3048.0,8506.0,12390.0,2018,2
2018000067,12000.0,15500.0,15500.0,12000.0,27082.0,2018,2
2018000055,9575.0,27500.0,27500.0,9575.0,36145.0,2018,2
2016000053,6500.0,22500.0,22500.0,6500.0,28286.0,2018,2
2018000056,21029.0,0.0,2945.0,9000.0,21029.0,2018,2
2017000031,9595.0,9500.0,15595.0,3500.0,18997.0,2018,2
2018000116,21245.0,6500.0,10745.0,17000.0,27679.0,2018,2
2017000011,8700.0,12500.0,12500.0,8700.0,21070.0,2018,2
2018000010,8100.0,35500.0,5500.0,8100.0,43542.0,2018,2
2018000130,4612.5,11620.0,7620.0,4612.5,16152.5,2018,2
2016000027,15815.0,7500.0,10548.0,12767.0,19526.0,2018,2
2016000082,14745.0,27930.0,33175.0,9500.0,41727.0,2018,2
2017000004,4000.0,7500.0,7500.0,4000.0,11422.0,2018,2
2018000022,26179.0,12500.0,18595.0,11000.0,38389.0,2018,2
2018000114,18095.0,7500.0,13595.0,12000.0,21806.0,2018,2
2019000013,4000.0,4750.0,4750.0,4000.0,8702.0,2018,2
2018000095,7548.0,3750.0,6798.0,4500.0,11260.0,2018,2
2016000035,9156.0,19500.0,19500.0,9156.0,28070.0,2018,2
2016000002,23117.0,0.0,4545.0,9488.0,23117.0,2018,2
2018000079,17845.0,26780.0,31625.0,13000.0,43667.0,2018,2
2017000048,22029.0,7500.0,11445.0,18084.0,29451.0,2018,2
2018000068,17170.0,3250.0,9345.0,11075.0,20387.0,2018,2
2016000072,17103.0,6500.0,12145.0,11458.0,23537.0,2018,2
2016000078,11622.0,26700.0,13922.0,10200.0,38190.0,2018,2
2016000045,14300.0,7500.0,7500.0,14300.0,21722.0,2018,2
2018000058,10995.0,12500.0,14845.0,8650.0,23365.0,2018,2
2018000118,3500.0,18850.0,18850.0,3500.0,21654.0,2018,2
2016000024,23729.0,7500.0,13595.0,17634.0,31151.0,2018,2
2018000057,6048.0,3750.0,6798.0,3000.0,9759.0,2018,2
2018000004,8595.0,12500.0,18595.0,2500.0,20963.0,2018,2
2016000009,6500.0,7500.0,7500.0,6500.0,13922.0,2018,2
2018000060,5000.0,38625.0,38625.0,5000.0,42157.0,2018,2
2017000030,25351.0,12500.0,18595.0,8500.0,37719.0,2018,2
2017000058,8500.0,34775.0,34775.0,8500.0,42039.0,2018,2
2016000065,14170.0,12500.0,18445.0,8225.0,26540.0,2018,2
2017000107,16879.0,12500.0,13245.0,16134.0,29247.0,2018,2
2018000108,30654.0,1750.0,7095.0,16225.0,32386.0,2018,2
2017000085,19179.0,9500.0,15595.0,13084.0,28581.0,2018,2
HA9161964,8166.33,12337.0,12337.0,8166.33,20101.33,2018,2
2017000052,8000.0,12500.0,12500.0,8000.0,20368.0,2018,2
2018000102,10345.0,12500.0,15845.0,7000.0,22713.0,2018,2
2018000104,18095.0,11400.0,17495.0,12000.0,29189.0,2018,2
2018000103,15148.5,6500.0,11071.5,6035.0,18365.5,2018,2
2018000014,10225.0,6500.0,6500.0,10225.0,16659.0,2018,2
2018000031,11700.0,31925.0,31925.0,11700.0,42507.0,2018,2
2016000018,5373.83,3646.0,5801.0,3218.83,8983.83,2018,2
2016000004,12351.0,5250.0,8298.0,9303.0,17549.0,2018,2
2018000012,7000.0,20500.0,20500.0,7000.0,26808.0,2018,2
